id,sentence,snippets,target,sentiment_score,aspects
518,"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",['indicating a SELL Rating'],TSLA,-0.485,['Stock/Coverage/AnalystRatings/Downgrade']
519,4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,['ripe for a #takeover target'],YHOO,0.129,['Corporate/M&A']
520,"$STX long play, another consistent profit zone.. check it out https://t.co/DQfuzOzYlh https://t.co/ggne4ayzqn",['long play'],STX,0.48,['Stock/Price Action/Bullish/Bullish Behavior']
521,"$FB trend, hits mid 110's and drops","[""hits mid 110's and drops""]",FB,-0.343,['Stock/Price Action/Bearish/Bearish Behavior']
522,$PCLN Trying to break daily trend line! Big move could happen https://t.co/gY0aDb2jsQ https://t.co/KPBBCgQ2xy,['Trying to break daily trend line'],PCLN,0.485,['Stock/Price Action']
523,$FB I've been dead on so far. Such a bloated valuation. https://t.co/czCf8Kbrlt,['Such a bloated valuation'],FB,-0.536,['Stock/Fundamentals']
524,$TSLA recall model X https://t.co/b7izYa4BuE,['recall model'],TSLA,-0.347,['Corporate/Risks/Product Recall']
525,"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj","['Recalls 2,700 Model X Vehicles']",TSLA,-0.336,['Corporate/Risks/Product Recall']
526,Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,['recalls all Model X cars'],TSLA,-0.308,['Corporate/Risks/Product Recall']
527,"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa",['RSI is over 50'],QCOM,0.387,['Stock/Technical Analysis']
528,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA,['Stocks Rally'],TSCO,0.248,['Stock/Price Action/Bullish/Bullish Behavior']
529,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,['maintains Neutral rating'],TRIP,-0.019,['Stock/Coverage/AnalystRatings']
530,Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,['was just upgraded to buy'],GOOGL,0.465,['Stock/Coverage/AnalystRatings/Upgrade']
531,@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,['short into the next 30 days heading into earnings'],NFLX,-0.308,['Stock/Price Action/Bearish/Bearish Behavior']
532,Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,['Added more'],BBBY,0.557,['Stock/Price Action/Bullish/Bull Position']
533,Added long at friday close  $SPY $LABU $BLUE $AMZN,['Added long at friday close'],SPY,0.513,['Stock/Price Action/Bullish/Bull Position']
534,"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/j35FNnx744 $AAPL #APPLE $AXP $BAC","['Another Sell Rating, Sell Ratings On']",BAC,-0.513,['Stock/Coverage/AnalystRatings/Downgrade']
535,long $SDLP $CPGX $TWTR $BITA $LABU $FB $TSLA $ETE $SDRL  Autocharts @ https://t.co/nxLx1ES7nY,['long'],TWTR,0.488,['Stock/Price Action/Bullish/Bull Position']
536,Costco: A Premier Retail Dividend Play https://t.co/J3UhTs022M $COST,['Dividend Play'],COST,0.463,['Corporate/Dividend Policy']
537,Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,['Pivotal Research upgrading $GOOGL to buy'],GOOGL,0.512,['Stock/Coverage/AnalystRatings/Upgrade']
538,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,['Most bullish stocks on Twitter during this dip'],YHOO,0.408,['Stock/Price Action/Bullish']
539,$TSLA <STUDY the CHARTS> Pullback_Time https://t.co/ZMDG0fb3I7,['study the charts'],TSLA,-0.3,['Stock/Technical Analysis']
540,#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,['deliveries are up 35% in Germany - record deliveries in March'],TSLA,0.365,['Corporate/Sales']
541,"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term","['We see slow, steady, unspectacular growth going forward near term']",GILD,0.422,['Stock/Fundamentals']
542,"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",['lots of green on th 5min'],TSLA,0.318,['Stock/Technical Analysis']
543,$AMGN And #UCB Announce Positive Top-Line Results From Ph3 Study Evaluating Romosozumab In Men... https://t.co/4hBoUDR8B8 via @YahooFinance,['Positive Top-Line Results'],AMGN,0.47,['Corporate/Sales/Sales']
544,Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,['Sold some $TSLA Puts this morning'],TSLA,-0.043,['Stock/Price Action/Bearish/Bear Position']
545,Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,['is awful why did it force an upgrade on my pc without my consent?'],MSFT,-0.49,['Corporate/Risks/Product Flaws']
546,$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,['breaks another down trend and continues higher'],EXPE,0.536,['Stock/Price Action/Bullish/Bullish Behavior']
547,"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action","['not getting follow through, either side of price action']",ENDP,0.469,['Stock/Price Action']
548,$CTRP not a bad long chart now that it's through sma100 resistance.,"[""it's through sma100 resistance""]",CTRP,0.498,['Stock/Technical Analysis']
549,$ENDP Was looking for a long entry but today's price action wasn't appealing,"[""oday's price action wasn't appealing""]",ENDP,0.034,['Stock/Price Action/Bearish/Bearish Behavior']
550,"$INTC & $AAPL strong, tech leads DOW higher","['strong, tech leads DOW higher']",INTC,0.588,['Stock/Price Action/Bullish/Bullish Behavior']
551,$CTRP breaking out https://t.co/Z2je3rTKch,['breaking out'],CTRP,0.364,['Stock/Price Action/Bullish']
552,$CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP,['strong rail today after breaking intraday resistance'],CSX,0.468,['Stock/Price Action/Bullish/Bullish Behavior']
553,loading $SPY and $AAPL puts. think were toppy IMHO.,['think were toppy'],SPY,-0.537,['Stock/Price Action/Bearish']
554,bot $AMZN 600 weekly calls here @ 5.93,['bot $AMZN 600 weekly calls here'],AMZN,0.659,['Stock/Price Action/Bullish/Bull Position']
555,$FB watching for bounce tomorrow,['watching for bounce tomorrow'],FB,0.366,['Stock/Price Action/Bullish']
556,#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,['Surging Forward today post earnings'],CAFN,0.418,['Corporate/Financial']
557,"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.","[""hought there'd be some support around the 50d, but I guess not.""]",FB,-0.334,['Stock/Price Action/Bearish']
558,$tsla bad day to short,['bad day to short'],TSLA,0.45,['Stock/Price Action/Bullish']
559,"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX","['RECALL 2,700 MODEL X']",TSLA,-0.235,['Corporate/Risks/Product Recall']
560,5 Best Analyst Rated Stocks in Last 72hrs: $ORCL $AAPL $CBS $INO $CPXX View all ratings here: https://t.co/IRID6zd5gc,['Analyst Rated Stocks'],ORCL,0.509,['Stock/Coverage/AnalystRatings']
561,Bought some more $CELG as it is ready for a bounce.,['Bought some more'],CELG,0.628,['Stock/Price Action/Bullish/Bull Position']
562,Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,['Analysts impressed with progress'],TSLA,0.474,['Stock/Coverage/AnalystRatings']
563,"$CELG back near 104, where it opened and rallied higher last wk. A good place to take a shot https://t.co/zwHThSvFSF",['A good place to take a shot'],CELG,0.465,['Stock/Price Action/Bullish']
564,$AMZN new HOD with conviction keeping $570 on watch for Resistance.,['new HOD with conviction'],AMZN,0.529,['Stock/Price Action/Bullish/Bullish Behavior']
565,$FB  rejecting HIGHS shortable...at 109,['rejecting HIGHS shortable'],FB,-0.387,['Stock/Price Action/Bearish']
566,"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",['Wall Street is expecting EPS to be at'],CSX,0.461,['Corporate/Financial/Financial Results/Earnings']
567,$FB turns back down in early trading.... https://t.co/reuf5PzhBm,['turns back down in early trading'],FB,-0.393,['Stock/Price Action/Bearish/Bearish Behavior']
568,Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.,['Week made in a morning.'],FB,0.471,['Stock/Price Action/Bullish']
569,"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",['daily sales slowing again'],GWW,-0.105,['Corporate/Sales']
570,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz","['recalls 2,700 Model X SUVs']",TSLA,-0.367,['Corporate/Risks/Product Recall']
571,"SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker","['added 465,000 net new subscribers in the first quarter']",SIRI,0.466,['Corporate/Sales']
572,5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY. Brian has a 79% success rate https://t.co/t0dn02EOH5,['upgraded rating'],GOOGL,0.561,['Stock/Coverage/AnalystRatings/Upgrade']
573,Long $ENDP @ $26.23 on $AGN b/o rumor,['Long'],ENDP,0.57,['Stock/Price Action/Bullish/Bull Position']
574,"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC","['Tesla recalls 2,700 Model X cars']",TSLA,-0.319,['Corporate/Risks/Product Recall']
575,This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet,['options trade would have more than doubled your money'],BBBY,0.294,['Stock/Options']
576,X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB,['recalls #ModelX for faulty 3rd row seat'],TSLA,-0.26,['Corporate/Risks/Product Recall']
577,$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,['move off the bottom but still in bear marke'],WDC,-0.421,['Market/Market']
578,$VRTX early technical BUY signal... for confirmation > 86 it needs some fundam. incentive https://t.co/QuYSrqFo2x,['early technical BUY signal'],VRTX,0.464,['Stock/Signal/Buy Signal']
579,$FB (110.20) is starting to show some relative strength and signs of potential B/O on the daily.,['starting to show some relative strength and signs of potentia'],FB,0.334,['Stock/Price Action/Bullish/Bullish Behavior']
580,"@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding.",['bubble might go on for some time'],TSLA,0.424,['Stock/Price Action/Bullish']
581,$SBUX heading for the 200DMA and certain doom if it can not hold there.,['heading for the 200DMA'],SBUX,-0.437,['Corporate/Technical Analysis']
582,$AMZN long into earnings. looks good over 600,['long into earnings. looks good over 600'],AMZN,0.613,['Stock/Price Action/Bullish/Bull Position']
583,$GOOGL is a short below 740 into the upper BB and is overbought,['is a short below 740 into the upper BB and is overbought'],GOOGL,-0.48,['Stock/Technical Analysis']
584,Timberrrr $TSLA https://t.co/MRBgfDHHVa,['Timberrrr'],TSLA,-0.562,['Stock/Price Action']
585,Interest Heats Up for @Yahoo $YHOO - The Wall Street Journal  https://t.co/j5jVjI9bia,['Interest Heats Up for'],YHOO,0.413,['Corporate/Rumors/Rumors']
586,"Tesla Recalling 2,700 Model X Units, Related to Faulty Latch for Third-Row Seats; Fall To $252.50 Level on Recall, Shares Up 1%  $TSLA","['Recalling 2,700 Model X Units']",TSLA,-0.385,['Corporate/Risks/Product Recall']
587,Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,['Embrace Dividend Growth'],WYN,0.284,['Corporate/Dividend Policy']
588,Word on the street is that Allergen is looking at Endo International after the failed Pfizer merger. May-20 $35 calls active. $ENDP,['Word on the street is that Allergen is looking at Endo International'],ENDP,0.472,['Corporate/M&A/Proposed Merger']
589,$SBUX inverted head & shoulders pattern in the works. bullish.,['inverted head & shoulders pattern in the works'],SBUX,0.572,['Stock/Technical Analysis']
590,I see a 20 percent upside in $FB shares from here,['I see a 20 percent upside'],FB,0.589,['Stock/Price Action/Bullish']
591,long $AAPL,['long'],AAPL,0.648,['Stock/Price Action/Bullish/Bull Position']
592,$FB popping up to HOD,['popping up to HOD'],FB,0.446,['Stock/Price Action/Bullish/Bullish Behavior']
593,$TSLA yeah lets go down to 230s lol,['yeah lets go down to 230s lol'],TSLA,-0.355,['Stock/Price Action/Bearish/Bearish Behavior']
594,#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,['announced it is recalling 2700 Model'],TSLA,-0.221,['Corporate/Risks/Product Recall']
595,$YHOO making new HOD,['making new HOD'],YHOO,0.442,['Stock/Price Action/Bullish/Bullish Behavior']
596,"Daily Mail owner considering Yahoo bid $yhoo ,up 2,05% https://t.co/extZr1riyP",['Daily Mail owner considering Yahoo bid'],YHOO,0.288,['Corporate/M&A']
597,$PCLN Back to Back intraday reversals look out below. Shorts moving in!,['Shorts moving in!'],PCLN,-0.53,['Stock/Price Action/Bearish']
598,$PYPL great vol flow trade here.. Love this company long time.,['great vol flow trade here'],PYPL,0.408,['Stock/Price Action/Bullish']
599,$ISRG PT raised to $700 from $640 at Leerink - keeps Outperform rated,['keeps Outperform rated'],ISRG,0.489,['Stock/Coverage/Stock Coverage']
600,Long $TSLA short $MBLY https://t.co/jSpUSzo6na,['ong $TSLA short $MBLY'],TSLA,0.607,['Stock/Price Action']
601,"$TSLA recalls 2,700 Model X cars. Stock dropping hard...","['recalls 2,700 Model X cars']",TSLA,-0.626,['Corporate/Risks/Product Recall']
602,$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,['Has broken its downtrend'],AAPL,0.222,['Stock/Price Action/Bullish']
603,"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/YVYDncdNdi",['potential defect with third-row seat belts. Tesla Motors recalls'],TSLA,-0.366,['Corporate/Risks/Product Recall']
604,Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,['Grows Efforts To Create Loyal Customers'],NFLX,0.225,['Corporate/Strategy']
605,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI","['recalls 2,700 Model X SUVs']",TSLA,-0.307,['Corporate/Risks/Product Recall']
606,$FB $AAPL $NKE $JWN bearish charts keep getting worse.,['bearish charts keep getting worse.'],NKE,-0.619,['Stock/Technical Analysis']
607,"Apple expected to launch new iPhone, iPad today $AAPL https://t.co/XfnICWeBeG",['Apple expected to launch new iPhone'],AAPL,0.264,['Corporate/Strategy/New Product']
608,$TSLA stock gaining steam... Plus other notable moves from this week: https://t.co/Hz0wdp5za1,['stock gaining steam'],TSLA,0.349,['Stock/Price Action/Bullish/Bullish Behavior']
609,$GILD  is expanding its research facilities...keeping up with the pace of innovation  https://t.co/uOE7FJ4LOP,['expanding its research facilities...keeping up with the pace of innovation'],GILD,0.297,['Corporate/Strategy']
610,"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today","['we saw a large order in this one last week, someone also accumulating']",ENDP,0.613,['Stock/Price Action/Bullish/Bullish Behavior']
611,TripAdvisor jumps on M&A rumors https://t.co/O4lwCDXMbr $TRIP,['jumps on M&A rumors'],TRIP,0.47,['Corporate/M&A']
612,Seat belt recall? who cares....  I'm a buyer $TSLA,['Seat belt recall'],TSLA,0.598,['Corporate/Risks/Product Recall']
613,$FB gettin in the buy zone soon ;),['gettin in the buy zone soon ;)'],FB,0.361,['Stock/Price Action/Bullish/Bullish Behavior']
614,Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,['Starbucks downgraded'],SBUX,-0.46,['Stock/Coverage/AnalystRatings/Downgrade']
615,"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",['technical alerts'],ADBE,0.208,['Stock/Technical Analysis']
616,"$AAPL a new long IF 110.61 is broken. Targets are 112.19, 119.86 & 123.82. Bears must retake 102.77. $QQQ $NQ_F $NDX https://t.co/6l3m1wXChw",['a new long IF 110.61 is broken'],QQQ,0.172,['Stock/Signal/Buy Signal']
617,Thank you $GOOG (Google Alphabet) and $FB (Facebook) stocks! What a nice reversal.,['What a nice reversal.'],GOOG,0.318,['Stock/Price Action']
618,"Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA","['recalls 2,700 Model X SUVs']",TSLA,-0.424,['Corporate/Risks/Product Recall']
619,"$AAPL bounces off support, it seems",['bounces off support'],AAPL,0.443,['Stock/Price Action/Bullish/Bullish Behavior']
620,Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX,['Deutsche Bank downgrades Starbucks'],SBUX,-0.436,['Stock/Coverage/AnalystRatings/Downgrade']
621,$GOOGL gets an upgrade price target $970,['gets an upgrade price target'],GOOGL,0.47,['Stock/Coverage/AnalystRatings/Upgrade']
622,NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,['downgraded by Macquarie to underperform'],NTAP,-0.574,['Stock/Coverage/AnalystRatings/Downgrade']
623,"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA","['recalling 2,700 Model X cars']",TSLA,-0.291,['Corporate/Risks/Product Recall']
624,$fb small long 109.25 via calls,['small long'],FB,0.352,['Stock/Price Action/Bullish/Bull Position']
625,Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn,['Indicator signaled a Oversold'],FB,0.324,['Stock/Price Action/Current Price/Oversold']
626,"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/6NKWEcrBA5 $AAPL $AXP $BAC $BLUE $FXE","['Another Sell Rating, Sell Ratings On']",FXE,-0.389,['Stock/Coverage/AnalystRatings/Downgrade']
627,ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx,['New RSI signal created on $COST - Buy at 148.78'],COST,0.497,['Stock/Signal/Buy Signal']
628,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,['Q1 disappoints as #software licenses down'],SAP,-0.431,['Corporate/Financial/Financial Results/Earnings/Financial Results']
629,$FB gone green on day,['gone green on day'],FB,0.476,['Stock/Price Action/Bullish/Bullish Behavior']
630,"$AMZN rejected that 604 to the penny. Weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58tEAEXxpE","['Weak open and it goes r/g within first 30 mins,']",AMZN,-0.229,['Stock/Price Action/Bearish/Bearish Behavior']
631,$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ,['is setting up above its 50-day moving average'],GOOGL,0.516,['Stock/Technical Analysis']
632,$FB still a dog going much lower this week,['still a dog going much lower this week'],FB,-0.554,['Stock/Price Action/Bearish']
633,Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,['Android two-factor authentication is breakable'],GOOG,-0.309,['Corporate/Risks/Hacks']
634,ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,['New MACD signal created on $CTXS - Buy at 77.09'],CTXS,0.49,['Stock/Signal/Buy Signal']
635,$BAC $ADSK $NFLX long this morning,['long this morning'],NFLX,0.476,['Stock/Price Action/Bullish/Bull Position']
636,Locked in some $FB puts for nice gain,['Locked in some $FB puts'],FB,-0.524,['Stock/Price Action/Bearish/Bear Position']
637,3rd red day in a row ? $TSLA,['3rd red day in a row ?'],TSLA,-0.43,['Stock/Price Action/Bearish']
638,Just went long $ILMN,['went long'],ILMN,0.558,['Stock/Price Action/Bullish/Bull Position']
639,#Apple up almost 20% from its February lows with very little fanfare. $AAPL,['up almost 20% from its February lows'],AAPL,0.431,['Stock/Price Action/Bullish/Bullish Behavior']
640,$DISH weakness continues again. 49.43 area resistance after last week,['weakness continues again'],DISH,-0.41,['Stock/Price Action/Bearish']
641,$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,['shipments on track to exceed forecasts'],AAPL,0.367,['Corporate/Sales']
642,$COST short finally making gains. I will take half my gains at 147,['short finally making gains'],COST,-0.41,['Stock/Price Action/Volatility/Short Selling']
643,Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,['doomed in 1 chart'],GOOG,-0.07,['Stock/Technical Analysis']
644,Apple Inc.: The Rip-Roaring Rally Is Just Beginning! (AAPL) | InvestorPlace $AAPL https://t.co/jrcFC8XlY9,['The Rip-Roaring Rally Is Just Beginning!'],AAPL,0.559,['Stock/Price Action/Bullish/Bullish Behavior']
645,"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",['Upside moves in the volatile #mining secto'],AAL,0.462,['Stock/Price Action']
646,"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS","['Voluntary recall of 2,700 Model X vehicles']",TSLA,-0.327,['Corporate/Risks/Product Recall']
647,@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,['not available for shorting at this time?'],W,-0.528,['Stock/Price Action/Volatility/Short Selling']
648,Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,['Deutsche Bank Downgraded Starbucks'],SBUX,-0.611,['Stock/Coverage/AnalystRatings/Downgrade']
649,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,['dividend - 3%'],GOOG,-0.066,['Corporate/Dividend Policy']
650,Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,['tumbles on Q1 warning'],JNPR,-0.556,['Corporate/Financial/Financial Results/Earnings/Profit Warning']
651,Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,['Looking for a strong bounce'],SPY,0.521,['Stock/Price Action/Bullish']
652,"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",['DJI overbought'],VZ,-0.296,['Stock/Price Action/Bearish']
653,"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs","['upgrades to outperform, lifts price target']",TSLA,0.61,['Stock/Coverage/AnalystRatings/Upgrade']
654,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,['recall not a big deal'],TSLA,0.003,['Corporate/Risks/Product Recall']
655,$TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW,['testing the 200 day ma'],TSLA,0.281,['Stock/Technical Analysis']
656,"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",['looking for a sharp move up in equities'],LOW,0.368,['Stock/Price Action/Bullish']
657,$JD down 20% in after-hour market. anyone care to explain why?,['down 20% in after-hour market'],JD,-0.551,['Stock/Price Action/Bearish/Bearish Behavior']
658,Look at that $AMZN > 600,['Look at that $AMZN > 600'],AMZN,0.326,['Stock/Price Action/Bullish']
659,Yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn,['the bidding war picks up for the company'],YHOO,0.391,['Corporate/M&A/M&A']
660,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,['shares down as much as ~4.2%'],SBUX,-0.383,['Stock/Price Action/Bearish/Bearish Behavior']
661,$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,['Beat the estimates'],AAPL,-0.248,['Corporate/Financial/Financial Results/Earnings/Earnings Beat']
662,long $AAPL 107 calls @ .40,['long'],AAPL,0.613,['Stock/Price Action/Bullish/Bull Position']
663,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",['faces a different technical test today'],NFLX,0.102,['Stock/Technical Analysis']
664,"$SBUX down PM, from $DB downgrade.. PT cut from 70 to $64","['down PM, from $DB downgrade']",SBUX,-0.531,['Stock/Coverage/AnalystRatings/Downgrade']
665,$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,['working on a couple daily dojis'],EBAY,-0.441,['Stock/Technical Analysis']
666,Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,['Breaking 52 week highs timing looks great now'],VNET,0.419,['Stock/Price Action/Current Price/52-Week High']
667,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,['ecalling pretty much every single model'],TSLA,-0.378,['Corporate/Risks/Product Recall']
668,$aapl high of day just hit. Back at it tomorrow.,['high of day just hit.'],AAPL,0.394,['Stock/Price Action/Bullish/Bullish Behavior']
669,ouch looks like $tsla shorts getting skinned again,['shorts getting skinned again'],TSLA,0.518,['Stock/Price Action/Bullish']
670,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",['Dividend Increase Rewards Patient Investors'],QCOM,0.484,['Corporate/Dividend Policy']
671,Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,['received a Buy rating'],FB,0.456,['Stock/Coverage/AnalystRatings/Upgrade']
672,$TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV,['if we can find support around 243.39 and pop up'],TSLA,-0.485,['Stock/Price Action/Bullish']
673,Citrix Systems Inc $CTXS Position Increased by Mizuho… https://t.co/v7Lkq08Flp @ShareStockNews,['Position Increased by Mizuho'],CTXS,0.529,['Stock/Coverage/AnalystRatings/Upgrade']
674,"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",['Notable gainers among liquid option names this morning'],X,0.513,['Stock/Options']
675,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,"[""Is #Facebook's user engagement falling?""]",FB,-0.39,['Corporate/Strategy/Business Outlook']
